signal_id,signal_type,signal_status,leading_pedestrian_interval,council_district,location
197,TRAFFIC,TURNED_ON,True,5,"{'type': 'Point', 'coordinates': [-97.823731, 30.173737]}"
910,TRAFFIC,TURNED_ON,False,"10, 9","{'type': 'Point', 'coordinates': [-97.739349, 30.314329]}"
176,TRAFFIC,TURNED_ON,True,"3, 9","{'type': 'Point', 'coordinates': [-97.748802, 30.236704]}"
4090,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.73618, 30.266184]}"
4143,PHB,TURNED_ON,False,"1, 3","{'type': 'Point', 'coordinates': [-97.732109, 30.266018]}"
1005,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.789574, 30.481957]}"
1008,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.786667, 30.240471]}"
1022,TRAFFIC,TURNED_ON,True,5,"{'type': 'Point', 'coordinates': [-97.833357, 30.190972]}"
4078,PHB,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.786981, 30.198471]}"
1070,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.852982, 30.249603]}"
4094,PHB,TURNED_ON,False,"10, 7","{'type': 'Point', 'coordinates': [-97.74337, 30.316204]}"
1104,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.755211, 30.239826]}"
1124,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.71377, 30.156963]}"
835,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.777885, 30.444899]}"
876,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.808907, 30.253723]}"
873,TRAFFIC,TURNED_ON,False,10,"{'type': 'Point', 'coordinates': [-97.854065, 30.403692]}"
919,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.778511, 30.212864]}"
1067,TRAFFIC,REMOVED_TEMPORARILY,False,7,"{'type': 'Point', 'coordinates': [-97.664414, 30.456314]}"
1072,TRAFFIC,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.698621, 30.251383]}"
1113,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.769822, 30.177672]}"
994,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.713562, 30.42473]}"
4018,PHB,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.796387, 30.214802]}"
101,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.611196, 30.163688]}"
4004,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.751935, 30.25894]}"
4029,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.733251, 30.277128]}"
340,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.731888, 30.27187]}"
4031,PHB,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.761093, 30.239786]}"
573,TRAFFIC,TURNED_ON,True,5,"{'type': 'Point', 'coordinates': [-97.838776, 30.178185]}"
1023,TRAFFIC,TURNED_ON,False,,"{'type': 'Point', 'coordinates': [-97.679136, 30.45524]}"
749,TRAFFIC,TURNED_ON,False,10,"{'type': 'Point', 'coordinates': [-97.783066, 30.291592]}"
4142,PHB,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.772846, 30.268242]}"
4155,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.73735, 30.249214]}"
1189,TRAFFIC,CONSTRUCTION,False,9,"{'type': 'Point', 'coordinates': [-97.736622, 30.248449]}"
1033,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.876824, 30.256609]}"
4046,PHB,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.79596, 30.21783]}"
4089,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.736476, 30.265241]}"
478,TRAFFIC,TURNED_ON,True,4,"{'type': 'Point', 'coordinates': [-97.684334, 30.355965]}"
1000,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.591461, 30.339815]}"
299,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.748421, 30.269629]}"
960,TRAFFIC,TURNED_ON,False,"4, 1","{'type': 'Point', 'coordinates': [-97.675972, 30.350773]}"
691,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.798264, 30.473202]}"
92,TRAFFIC,TURNED_ON,False,"4, 7","{'type': 'Point', 'coordinates': [-97.729057, 30.362911]}"
114,TRAFFIC,TURNED_ON,False,10,"{'type': 'Point', 'coordinates': [-97.744148, 30.305719]}"
1040,TRAFFIC,TURNED_ON,False,"1, 3","{'type': 'Point', 'coordinates': [-97.730341, 30.265431]}"
